CMDLINE python test_lib_memoryleak.py
MEM 41.742188 1611150024.7147
MEM 41.742188 1611150025.7256
MEM 41.742188 1611150026.7354
MEM 41.742188 1611150027.7403
MEM 41.742188 1611150028.7506
MEM 41.742188 1611150029.7605
MEM 41.742188 1611150030.7679
MEM 41.742188 1611150031.7774
MEM 41.746094 1611150032.7849
MEM 41.746094 1611150033.7930
MEM 41.746094 1611150034.8017
MEM 41.746094 1611150035.8104
MEM 41.746094 1611150036.8212
MEM 41.746094 1611150037.8267
MEM 41.746094 1611150038.8375
MEM 41.746094 1611150039.8437
MEM 41.746094 1611150040.8502
MEM 41.746094 1611150041.8595
MEM 41.746094 1611150042.8674
MEM 41.746094 1611150043.8739
MEM 41.746094 1611150044.8854
MEM 41.746094 1611150045.8975
MEM 41.746094 1611150046.9048
MEM 41.746094 1611150047.9145
MEM 41.746094 1611150048.9218
MEM 41.746094 1611150049.9335
MEM 41.746094 1611150050.9412
MEM 41.746094 1611150051.9486
MEM 41.746094 1611150052.9563
MEM 41.746094 1611150053.9664
MEM 41.746094 1611150054.9718
MEM 41.746094 1611150055.9813
MEM 41.746094 1611150056.9905
MEM 41.746094 1611150057.9984
MEM 41.746094 1611150059.0085
MEM 41.746094 1611150060.0149
MEM 41.746094 1611150061.0212
MEM 41.746094 1611150062.0301
MEM 41.746094 1611150063.0356
MEM 41.746094 1611150064.0428
MEM 41.750000 1611150065.0487
MEM 41.777344 1611150066.0584
MEM 41.777344 1611150067.0667
MEM 41.777344 1611150068.0757
MEM 41.777344 1611150069.0853
MEM 41.777344 1611150070.0909
MEM 41.777344 1611150071.0977
MEM 41.777344 1611150072.1080
MEM 41.777344 1611150073.1173
MEM 41.777344 1611150074.1255
MEM 41.777344 1611150075.1317
MEM 41.781250 1611150076.1365
MEM 41.781250 1611150077.1431
MEM 41.781250 1611150078.1485
MEM 41.781250 1611150079.1548
MEM 41.781250 1611150080.1647
MEM 41.781250 1611150081.1730
MEM 41.781250 1611150082.1844
MEM 41.781250 1611150083.1928
MEM 41.781250 1611150084.1995
MEM 41.781250 1611150085.2059
MEM 41.781250 1611150086.2160
MEM 41.781250 1611150087.2259
MEM 41.781250 1611150088.2354
MEM 41.781250 1611150089.2446
MEM 41.781250 1611150090.2492
MEM 41.781250 1611150091.2580
MEM 41.781250 1611150092.2661
MEM 41.781250 1611150093.2752
MEM 41.781250 1611150094.2822
MEM 41.781250 1611150095.2910
MEM 41.781250 1611150096.2980
MEM 41.781250 1611150097.3081
MEM 41.781250 1611150098.3147
MEM 41.781250 1611150099.3208
MEM 41.781250 1611150100.3311
MEM 41.781250 1611150101.3372
MEM 41.789062 1611150102.3475
MEM 41.789062 1611150103.3581
MEM 41.789062 1611150104.3667
MEM 41.792969 1611150105.3729
MEM 41.792969 1611150106.3827
MEM 41.796875 1611150107.3906
MEM 41.796875 1611150108.3990
MEM 41.812500 1611150109.4063
MEM 41.812500 1611150110.4159
MEM 41.812500 1611150111.4244
MEM 41.816406 1611150112.4341
MEM 41.816406 1611150113.4408
MEM 41.816406 1611150114.4485
MEM 41.816406 1611150115.4555
MEM 41.816406 1611150116.4661
MEM 41.820312 1611150117.4740
MEM 41.820312 1611150118.4840
MEM 41.820312 1611150119.4912
MEM 41.820312 1611150120.4984
MEM 41.820312 1611150121.5074
MEM 41.824219 1611150122.5155
MEM 41.824219 1611150123.5240
MEM 41.824219 1611150124.5337
MEM 41.824219 1611150125.5405
MEM 41.824219 1611150126.5487
MEM 41.824219 1611150127.5578
MEM 41.824219 1611150128.5650
MEM 41.824219 1611150129.5770
MEM 41.824219 1611150130.5867
MEM 41.824219 1611150131.5968
MEM 41.824219 1611150132.6067
MEM 41.824219 1611150133.6152
MEM 41.824219 1611150134.6236
MEM 41.824219 1611150135.6321
MEM 41.824219 1611150136.6390
MEM 41.824219 1611150137.6501
MEM 41.824219 1611150138.6572
MEM 41.824219 1611150139.6681
MEM 41.824219 1611150140.6743
MEM 41.824219 1611150141.6834
MEM 41.824219 1611150142.6931
MEM 41.824219 1611150143.7021
MEM 41.824219 1611150144.7077
MEM 41.824219 1611150145.7185
MEM 41.824219 1611150146.7251
MEM 41.824219 1611150147.7327
MEM 41.824219 1611150148.7386
MEM 41.824219 1611150149.7464
MEM 41.824219 1611150150.7512
MEM 41.824219 1611150151.7597
MEM 41.824219 1611150152.7657
MEM 41.824219 1611150153.7721
MEM 41.824219 1611150154.7815
MEM 41.824219 1611150155.7865
MEM 41.824219 1611150156.7947
MEM 41.824219 1611150157.7999
MEM 41.824219 1611150158.8074
MEM 41.824219 1611150159.8169
MEM 41.824219 1611150160.8224
MEM 41.824219 1611150161.8290
MEM 41.824219 1611150162.8368
MEM 41.824219 1611150163.8423
MEM 41.824219 1611150164.8529
MEM 41.824219 1611150165.8614
MEM 41.824219 1611150166.8711
MEM 41.824219 1611150167.8810
MEM 41.824219 1611150168.8895
MEM 41.824219 1611150169.8988
MEM 41.824219 1611150170.9078
MEM 41.824219 1611150171.9158
MEM 41.824219 1611150172.9229
MEM 41.824219 1611150173.9326
MEM 41.824219 1611150174.9380
MEM 41.824219 1611150175.9502
MEM 41.824219 1611150176.9595
MEM 41.824219 1611150177.9701
MEM 41.824219 1611150178.9759
MEM 41.824219 1611150179.9832
MEM 41.824219 1611150180.9943
MEM 41.824219 1611150182.0000
MEM 41.824219 1611150183.0089
MEM 41.824219 1611150184.0162
MEM 41.824219 1611150185.0212
MEM 41.824219 1611150186.0309
MEM 41.824219 1611150187.0396
MEM 41.824219 1611150188.0492
MEM 41.824219 1611150189.0557
MEM 41.824219 1611150190.0637
MEM 41.824219 1611150191.0721
MEM 41.824219 1611150192.0780
MEM 41.824219 1611150193.0867
MEM 41.824219 1611150194.0937
MEM 41.824219 1611150195.0990
MEM 41.824219 1611150196.1052
MEM 41.824219 1611150197.1121
MEM 41.824219 1611150198.1215
MEM 41.824219 1611150199.1287
MEM 41.824219 1611150200.1388
MEM 41.828125 1611150201.1458
MEM 41.828125 1611150202.1543
MEM 41.828125 1611150203.1612
MEM 41.832031 1611150204.1663
MEM 41.832031 1611150205.1731
MEM 41.832031 1611150206.1827
MEM 41.832031 1611150207.1885
MEM 41.832031 1611150208.1939
MEM 41.839844 1611150209.1999
MEM 41.851562 1611150210.2049
MEM 41.851562 1611150211.2146
MEM 41.851562 1611150212.2256
MEM 41.851562 1611150213.2329
MEM 41.851562 1611150214.2387
MEM 41.851562 1611150215.2440
MEM 41.851562 1611150216.2492
MEM 41.863281 1611150217.2546
MEM 41.875000 1611150218.2595
MEM 41.875000 1611150219.2658
MEM 41.878906 1611150220.2719
MEM 41.890625 1611150221.2772
MEM 41.890625 1611150222.2881
MEM 41.890625 1611150223.2970
MEM 41.890625 1611150224.3052
MEM 41.890625 1611150225.3166
MEM 41.890625 1611150226.3227
MEM 41.890625 1611150227.3292
MEM 41.890625 1611150228.3382
MEM 41.890625 1611150229.3476
MEM 41.890625 1611150230.3539
MEM 41.902344 1611150231.3594
MEM 41.902344 1611150232.3683
MEM 41.902344 1611150233.3733
MEM 41.902344 1611150234.3829
MEM 41.902344 1611150235.3926
